"rt","time_elapsed","subject","subID","group","day","trialType","phase","key_press","stim","stimNum","corrresp","hierarchy","trialNum","corr","responses"
"828","338848","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/r_s_dots.png","7","75","color,shape,pattern","191","1",""
"null","339851","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","191","",""
"611","340463","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","192","1",""
"null","341466","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","192","",""
"457","341925","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","193","1",""
"null","342927","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","193","",""
"667","343596","HierDyge97xraz","sub01 ","01 ","5","rl","test","75","img/r_s_dots.png","7","75","color,shape,pattern","194","1",""
"null","344598","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","194","",""
"556","345156","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/b_s_dots.png","3","68","color,shape,pattern","195","0",""
"null","346158","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","195","",""
"922.0000000000582","347082","HierDyge97xraz","sub01 ","01 ","5","rl","test","72","img/r_c_dots.png","5","72","color,shape,pattern","196","1",""
"null","348085","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","196","",""
"467","348552","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/b_s_stripes.png","4","70","color,shape,pattern","197","0",""
"null","349555","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","197","",""
"724","350281","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_stripes.png","2","83","color,shape,pattern","198","1",""
"null","351283","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","198","",""
"643","351927","HierDyge97xraz","sub01 ","01 ","5","rl","test","65","img/b_c_dots.png","1","65","color,shape,pattern","199","1",""
"null","352930","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","199","",""
"1227.0000000000582","354158","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_c_stripes.png","6","74","color,shape,pattern","200","1",""
"null","355161","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","200","",""
"665","355827","HierDyge97xraz","sub01 ","01 ","5","rl","test","72","img/r_c_dots.png","5","72","color,shape,pattern","201","1",""
"null","356829","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","201","",""
"1833","358663","HierDyge97xraz","sub01 ","01 ","5","rl","test","70","img/r_s_dots.png","7","75","color,shape,pattern","202","0",""
"null","359666","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","202","",""
"1070","360737","HierDyge97xraz","sub01 ","01 ","5","rl","test","74","img/r_c_stripes.png","6","74","color,shape,pattern","203","1",""
"null","361740","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","203","",""
"555","362296","HierDyge97xraz","sub01 ","01 ","5","rl","test","65","img/b_c_dots.png","1","65","color,shape,pattern","204","1",""
"null","363299","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","204","",""
"600","363900","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_stripes.png","2","83","color,shape,pattern","205","1",""
"null","364903","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","205","",""
"513","365417","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","206","1",""
"null","366420","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","206","",""
"978","367400","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/b_c_stripes.png","2","83","color,shape,pattern","207","0",""
"null","368402","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","207","",""
"597.9999999999418","369001","HierDyge97xraz","sub01 ","01 ","5","rl","test","70","img/b_s_stripes.png","4","70","color,shape,pattern","208","1",""
"null","370004","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","208","",""
"613","370618","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/b_s_dots.png","3","68","color,shape,pattern","209","1",""
"null","371621","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","209","",""
"598","372220","HierDyge97xraz","sub01 ","01 ","5","rl","test","68","img/b_s_dots.png","3","68","color,shape,pattern","210","1",""
"null","373223","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","210","",""
"887","374111","HierDyge97xraz","sub01 ","01 ","5","rl","test","83","img/b_c_stripes.png","2","83","color,shape,pattern","211","1",""
"null","375114","HierDyge97xraz","sub01 ","01 ","5","feedback","test","null","","","na","","211","",""
"503","375618","HierDyge97xraz","sub01 ","01 ","5","rl","test","76","img/r_s_stripes.png","8","76","color,shape,pattern","212","1",""
