"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","type","trialNum","corr","repeatTrial","motorSwitch","pracCounter"
"363","","1551592","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","76","img/motor_8.png","76","motor","8","color","428","1","0","0",""
"null","","1551702","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"372","","1552088","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","74","img/motor_6.png","74","motor","6","color","429","1","0","0",""
"null","","1552203","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"341","","1552560","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","72","img/motor_5.png","72","motor","5","color","430","1","0","0",""
"null","","1552669","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"420","","1553097","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","74","img/motor_7.png","75","motor","7","color","431","0","1","0",""
"135","","1553241","HierDyhur00wdf","w1kr81ai6m","msl000227","motorRepeat","","75","img/motor_7.png","75","motor","7","","431","1","0","0",""
"null","","1553356","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"36","","1553408","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","75","img/motor_1.png","65","motor","1","color","432","0","1","0",""
"505","","1553928","HierDyhur00wdf","w1kr81ai6m","msl000227","motorRepeat","","65","img/motor_1.png","65","motor","1","","432","1","0","0",""
"null","","1554045","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"460","","1554521","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","75","img/motor_7.png","75","motor","7","color","433","1","0","0",""
"null","","1554637","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"332","","1554980","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","76","img/motor_8.png","76","motor","8","color","434","1","0","0",""
"null","","1555089","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"591","","1555697","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","68","img/motor_3.png","68","motor","3","color","435","1","0","0",""
"null","","1555807","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"339","","1556160","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","76","img/motor_8.png","76","motor","8","color","436","1","0","0",""
"null","","1556279","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"418","","1556706","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","68","img/motor_3.png","68","motor","3","color","437","1","0","0",""
"null","","1556822","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"442","","1557280","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","75","img/motor_6.png","74","motor","6","color","438","0","1","0",""
"31","","1557326","HierDyhur00wdf","w1kr81ai6m","msl000227","motorRepeat","","74","img/motor_6.png","74","motor","6","","438","1","0","0",""
"null","","1557436","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"533","","1557978","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","83","img/motor_2.png","83","motor","2","color","439","1","0","0",""
"null","","1558093","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"483","","1558585","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","74","img/motor_6.png","74","motor","6","color","440","1","0","0",""
"null","","1558701","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"445","","1559152","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","68","img/motor_3.png","68","motor","3","color","441","1","0","0",""
"null","","1559262","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"508","","1559778","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","72","img/motor_5.png","72","motor","5","color","442","1","0","0",""
"null","","1559894","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"355","","1560265","HierDyhur00wdf","w1kr81ai6m","msl000227","motor","","76","img/motor_8.png","76","motor","8","color","443","1","0","0",""
"null","","1560380","HierDyhur00wdf","w1kr81ai6m","msl000227","iti","","null","img/motor_8.png","76","motor","","","","","","",""
