id,group_id,task_type,block,trial,stim_type,stim_index,resp_index,correct,good_timing,t_proposed_prep,t_prep,missed_stim_deadline
6,6,forced,6,95,learn,8,8,1,1,1.200,1.095,0
6,6,forced,6,96,learn,8,8,1,1,0.600,0.538,0
6,6,forced,7,1,learn,3,2,0,1,0.400,0.489,0
6,6,forced,7,2,learn,8,8,1,1,1.100,1.033,0
6,6,forced,7,3,learn,6,8,0,0,0.900,0.746,0
6,6,forced,7,4,learn,8,8,0,0,0.800,0.670,0
6,6,forced,7,5,learn,1,1,1,1,0.900,0.859,0
6,6,forced,7,6,learn,4,4,1,1,0.900,0.963,0
6,6,forced,7,7,learn,3,3,0,0,0.500,0.678,0
6,6,forced,7,8,learn,6,3,0,0,0.100,0.272,0
6,6,forced,7,9,learn,8,4,0,1,0.500,0.488,0
6,6,forced,7,10,learn,1,1,1,1,1.100,1.043,0
6,6,forced,7,11,learn,6,6,1,1,1.200,1.213,0
6,6,forced,7,12,learn,8,8,1,1,0.600,0.661,0
6,6,forced,7,13,learn,5,5,0,0,0.100,0.539,0
6,6,forced,7,14,learn,3,4,0,0,0.300,0.535,0
6,6,forced,7,15,learn,2,2,1,1,1.100,1.168,0
6,6,forced,7,16,learn,1,1,1,1,0.700,0.749,0
6,6,forced,7,17,learn,8,8,0,0,0.100,0.880,0
6,6,forced,7,18,learn,8,8,1,1,1.200,1.229,0
6,6,forced,7,19,learn,1,1,1,1,0.600,0.661,0
6,6,forced,7,20,learn,2,2,0,0,0.500,0.606,0
6,6,forced,7,21,learn,4,4,1,1,1.100,1.122,0
6,6,forced,7,22,learn,6,6,1,1,1.200,1.224,0
6,6,forced,7,23,learn,6,6,0,0,0.100,0.324,0
6,6,forced,7,24,learn,1,1,1,1,0.900,0.917,0
6,6,forced,7,25,learn,4,4,1,1,0.800,0.820,0
6,6,forced,7,26,learn,4,4,1,1,1.100,1.163,0
6,6,forced,7,27,learn,8,8,0,0,0.200,0.529,0
6,6,forced,7,28,learn,5,2,0,0,0.300,0.476,0
6,6,forced,7,29,learn,4,3,0,0,0.300,0.530,0
6,6,forced,7,30,learn,8,8,0,0,1.200,1.311,0
6,6,forced,7,31,learn,7,8,0,1,0.100,0.031,0
6,6,forced,7,32,learn,5,7,0,0,0.200,0.438,0
6,6,forced,7,33,learn,3,3,1,1,1.200,1.225,0
6,6,forced,7,34,learn,5,2,0,0,0.100,0.450,0
6,6,forced,7,35,learn,4,5,0,1,0.200,0.300,0
6,6,forced,7,36,learn,4,4,1,1,1.200,1.229,0
6,6,forced,7,37,learn,7,4,0,0,0.200,0.394,0
6,6,forced,7,38,learn,6,5,0,0,0.200,0.317,0
6,6,forced,7,39,learn,6,6,1,1,1.100,1.177,0
6,6,forced,7,40,learn,3,3,0,0,0.700,0.913,0
6,6,forced,7,41,learn,3,4,0,0,0.300,0.588,0
6,6,forced,7,42,learn,6,6,1,1,0.700,0.714,0
6,6,forced,7,43,learn,6,6,0,0,0.700,0.814,0
6,6,forced,7,44,learn,2,3,0,0,0.900,1.053,0
6,6,forced,7,45,learn,8,2,0,1,0.100,0.185,0
6,6,forced,7,46,learn,6,3,0,0,0.100,0.598,0
6,6,forced,7,47,learn,6,6,0,0,0.600,0.833,0
6,6,forced,7,48,learn,4,4,0,0,0.600,0.739,0
6,6,forced,7,49,learn,3,2,0,0,0.400,0.588,0
6,6,forced,7,50,learn,2,6,0,0,1,1.262,0
6,6,forced,7,51,learn,1,1,1,1,1.100,1.157,0
6,6,forced,7,52,learn,1,1,0,0,0.500,0.638,0
6,6,forced,7,53,learn,5,3,0,0,0.900,1.048,0
6,6,forced,7,54,learn,8,8,0,0,0.200,0.651,0
6,6,forced,7,55,learn,5,6,0,0,0.600,0.774,0
6,6,forced,7,56,learn,5,5,0,0,0.500,0.778,0
6,6,forced,7,57,learn,6,6,1,1,0.800,0.766,0
6,6,forced,7,58,learn,1,5,0,1,0.100,0.187,0
6,6,forced,7,59,learn,1,1,1,1,1.100,1.073,0
6,6,forced,7,60,learn,2,2,1,1,0.400,0.418,0
6,6,forced,7,61,learn,1,1,1,1,1,1.001,0
6,6,forced,7,62,learn,8,8,0,0,0.900,0.743,0
6,6,forced,7,63,learn,3,6,0,1,1.200,1.085,0
6,6,forced,7,64,learn,4,4,0,0,0.700,0.598,0
6,6,forced,7,65,learn,7,6,0,1,0.600,0.533,0
6,6,forced,7,66,learn,4,4,1,1,0.900,0.834,0
6,6,forced,7,67,learn,2,2,1,1,1.200,1.238,0
6,6,forced,7,68,learn,3,3,1,1,0.700,0.606,0
6,6,forced,7,69,learn,7,7,1,1,0.800,0.786,0
6,6,forced,7,70,learn,3,4,0,1,1,0.956,0
6,6,forced,7,71,learn,5,6,0,1,1.100,1.027,0
6,6,forced,7,72,learn,3,3,0,0,1,0.866,0
6,6,forced,7,73,learn,4,3,0,1,0.400,0.344,0
6,6,forced,7,74,learn,6,6,1,1,0.900,0.809,0
6,6,forced,7,75,learn,3,3,0,0,0.800,0.681,0
6,6,forced,7,76,learn,8,6,0,0,0.600,1.962,0
6,6,forced,7,77,learn,6,6,1,1,0.800,0.709,0
6,6,forced,7,78,learn,7,7,0,0,1.200,1.044,0
6,6,forced,7,79,learn,6,6,1,1,0.400,0.341,0
6,6,forced,7,80,learn,7,6,0,1,0.400,0.343,0
6,6,forced,7,81,learn,1,1,1,1,0.800,0.713,0
6,6,forced,7,82,learn,3,3,1,1,0.400,0.340,0
6,6,forced,7,83,learn,6,5,0,1,1,0.911,0
6,6,forced,7,84,learn,2,2,1,1,1,1.091,0
6,6,forced,7,85,learn,2,6,0,0,0.300,0.478,0
6,6,forced,7,86,learn,7,7,0,0,1.200,1.334,0
6,6,forced,7,87,learn,3,3,1,1,1.200,1.150,0
6,6,forced,7,88,learn,3,3,1,1,0.400,0.498,0
6,6,forced,7,89,learn,2,3,0,1,0.500,0.464,0
6,6,forced,7,90,learn,3,3,0,0,1.200,1.025,0
6,6,forced,7,91,learn,2,3,0,1,0.200,0.233,0
6,6,forced,7,92,learn,8,6,0,1,0.600,0.573,0
6,6,forced,7,93,learn,1,3,0,0,0.300,0.195,0
6,6,forced,7,94,learn,6,7,0,1,1,0.921,0
6,6,forced,7,95,learn,2,4,0,1,1.200,1.131,0
6,6,forced,7,96,learn,2,2,0,0,0.600,0.428,0
6,6,forced,8,1,learn,7,3,0,1,0.300,0.244,0
6,6,forced,8,2,learn,5,6,0,1,1,0.955,0
6,6,forced,8,3,learn,2,6,0,1,0.300,0.350,0
6,6,forced,8,4,learn,7,6,0,1,0.100,0.174,0
6,6,forced,8,5,learn,8,7,0,0,0.200,0.389,0
6,6,forced,8,6,learn,1,7,0,0,0.100,0.284,0
6,6,forced,8,7,learn,6,7,0,1,0.500,0.557,0
6,6,forced,8,8,learn,5,5,1,1,0.900,0.916,0
6,6,forced,8,9,learn,1,1,0,0,0.900,0.781,0
6,6,forced,8,10,learn,8,8,1,1,1.200,1.164,0
6,6,forced,8,11,learn,3,3,0,0,0.200,0.458,0
6,6,forced,8,12,learn,1,1,1,1,1,1.012,0
6,6,forced,8,13,learn,4,4,1,1,1.200,1.212,0
6,6,forced,8,14,learn,5,6,0,0,1,1.159,0
6,6,forced,8,15,learn,7,7,0,0,0.600,0.776,0
6,6,forced,8,16,learn,3,3,1,1,0.800,0.772,0
6,6,forced,8,17,learn,7,7,0,0,1.200,1.045,0
6,6,forced,8,18,learn,5,5,1,1,0.900,0.869,0
6,6,forced,8,19,learn,8,8,0,0,0.800,0.921,0
6,6,forced,8,20,learn,6,6,1,1,0.700,0.699,0
6,6,forced,8,21,learn,5,3,0,1,0.400,0.361,0
6,6,forced,8,22,learn,4,5,0,1,0.500,0.485,0
6,6,forced,8,23,learn,7,7,1,1,1.200,1.139,0
6,6,forced,8,24,learn,4,6,0,1,0.300,0.237,0
6,6,forced,8,25,learn,6,8,0,1,0.800,0.738,0
6,6,forced,8,26,learn,2,5,0,1,0.600,0.528,0
6,6,forced,8,27,learn,6,6,0,0,1.200,1.068,0
6,6,forced,8,28,learn,5,5,1,1,1.200,1.104,0
6,6,forced,8,29,learn,2,3,0,1,0.800,0.716,0
6,6,forced,8,30,learn,8,4,0,1,0.400,0.483,0
6,6,forced,8,31,learn,3,2,0,1,0.300,0.295,0
6,6,forced,8,32,learn,3,3,0,0,0.800,0.695,0
6,6,forced,8,33,learn,6,3,0,0,0.300,0.417,0
6,6,forced,8,34,learn,1,1,1,1,1.100,1.065,0
6,6,forced,8,35,learn,6,2,0,0,0.900,0.795,0
6,6,forced,8,36,learn,7,6,0,1,0.500,0.457,0
6,6,forced,8,37,learn,2,2,1,1,1.100,1.072,0
6,6,forced,8,38,learn,5,5,1,1,1,0.903,0
6,6,forced,8,39,learn,7,6,0,1,0.300,0.214,0
6,6,forced,8,40,learn,6,6,0,0,0.900,0.759,0
6,6,forced,8,41,learn,7,7,0,0,1,0.855,0
6,6,forced,8,42,learn,1,5,0,0,0.700,0.569,0
6,6,forced,8,43,learn,2,2,0,0,1,0.857,0
6,6,forced,8,44,learn,5,5,1,1,0.700,0.698,0
6,6,forced,8,45,learn,5,5,1,1,0.600,0.515,0
6,6,forced,8,46,learn,7,7,0,0,1.100,0.969,0
6,6,forced,8,47,learn,2,2,1,1,0.900,0.877,0
6,6,forced,8,48,learn,7,6,0,0,0.700,0.817,0
6,6,forced,8,49,learn,8,6,0,1,0.400,0.431,0
6,6,forced,8,50,learn,2,2,1,1,1.200,1.130,0
6,6,forced,8,51,learn,2,2,1,1,0.900,0.877,0
6,6,forced,8,52,learn,6,2,0,0,0.300,0.194,0
6,6,forced,8,53,learn,8,6,0,0,0.400,0.526,0
6,6,forced,8,54,learn,1,1,1,1,0.500,0.473,0
6,6,forced,8,55,learn,3,3,0,0,0.200,0.494,0
6,6,forced,8,56,learn,3,3,1,1,0.500,0.419,0
6,6,forced,8,57,learn,7,7,1,1,1.100,1.111,0
6,6,forced,8,58,learn,4,4,1,1,0.600,0.632,0
6,6,forced,8,59,learn,4,8,0,1,0.400,0.393,0
6,6,forced,8,60,learn,1,1,1,1,1.100,1.133,0
6,6,forced,8,61,learn,2,2,1,1,0.700,0.694,0
6,6,forced,8,62,learn,7,3,0,0,0.200,0.341,0
6,6,forced,8,63,learn,3,5,0,0,0.200,0.374,0
6,6,forced,8,64,learn,5,5,1,1,0.200,0.287,0
6,6,forced,8,65,learn,2,2,1,1,1,1.079,0
6,6,forced,8,66,learn,3,3,0,0,0.300,0.657,0
6,6,forced,8,67,learn,7,5,0,0,0.500,0.669,0
6,6,forced,8,68,learn,7,7,0,0,0.300,0.592,0
6,6,forced,8,69,learn,6,6,0,0,0.500,0.634,0
6,6,forced,8,70,learn,8,6,0,0,0.300,0.469,0
6,6,forced,8,71,learn,2,2,0,0,0.600,0.722,0
6,6,forced,8,72,learn,7,7,0,0,1,1.152,0
6,6,forced,8,73,learn,8,7,0,1,0.300,0.265,0
6,6,forced,8,74,learn,4,3,0,1,1.100,1.111,0
6,6,forced,8,75,learn,3,2,0,0,0.100,0.243,0
6,6,forced,8,76,learn,8,8,1,1,1.200,1.223,0
