"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy","responses"
"null","620328","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"317","620653","HierDyjz7vkxeh","sub13","01","1","motor","65","img/motor_1.png","65","motor","1","144","1","0","0","","",""
"null","620762","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"537","621305","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","145","1","0","0","","",""
"null","621414","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"383","621805","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","146","1","0","0","","",""
"null","621914","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"690","622613","HierDyjz7vkxeh","sub13","01","1","motor","75","img/motor_7.png","75","motor","7","147","1","0","0","","",""
"null","622721","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"405","623135","HierDyjz7vkxeh","sub13","01","1","motor","76","img/motor_8.png","76","motor","8","148","1","0","0","","",""
"null","623243","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"500","623750","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","149","1","0","0","","",""
"null","623857","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"455","624318","HierDyjz7vkxeh","sub13","01","1","motor","68","img/motor_3.png","68","motor","3","150","1","0","0","","",""
"null","624426","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"320","624754","HierDyjz7vkxeh","sub13","01","1","motor","68","img/motor_3.png","68","motor","3","151","1","0","0","","",""
"null","624862","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"423","625292","HierDyjz7vkxeh","sub13","01","1","motor","83","img/motor_2.png","83","motor","2","152","1","0","0","","",""
"null","625400","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"472","625880","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","153","1","0","0","","",""
"null","625988","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"465","626462","HierDyjz7vkxeh","sub13","01","1","motor","75","img/motor_7.png","75","motor","7","154","1","0","0","","",""
"null","626571","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"576","627154","HierDyjz7vkxeh","sub13","01","1","motor","68","img/motor_3.png","68","motor","3","155","1","0","0","","",""
"null","627262","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"602","627871","HierDyjz7vkxeh","sub13","01","1","motor","74","img/motor_6.png","74","motor","6","156","1","0","0","","",""
"null","627979","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"487","628475","HierDyjz7vkxeh","sub13","01","1","motor","83","img/motor_2.png","83","motor","2","157","1","0","0","","",""
"null","628583","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"349","628941","HierDyjz7vkxeh","sub13","01","1","motor","65","img/motor_1.png","65","motor","1","158","1","0","0","","",""
"null","629049","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"647","629703","HierDyjz7vkxeh","sub13","01","1","motor","83","img/motor_2.png","83","motor","2","159","1","0","0","","",""
"null","629811","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"607","630427","HierDyjz7vkxeh","sub13","01","1","motor","68","img/motor_3.png","68","motor","3","160","1","0","0","","",""
"null","630535","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"356","630898","HierDyjz7vkxeh","sub13","01","1","motor","76","img/motor_8.png","76","motor","8","161","1","0","0","","",""
"null","631006","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"477","631491","HierDyjz7vkxeh","sub13","01","1","motor","74","img/motor_6.png","74","motor","6","162","1","0","0","","",""
"null","631600","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"601","632206","HierDyjz7vkxeh","sub13","01","1","motor","72","img/motor_5.png","72","motor","5","163","1","0","0","","",""
"null","632315","HierDyjz7vkxeh","sub13","01","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
