rt,time_elapsed,subject,subID,group,day,trialType,key_press,stim,corrresp,phase,stimNum,trialNum,corr,repeatTrial,motorSwitch,pracCounter,hierarchy,responses
832,629009,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,136,1,0,0,,,
null,629120,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
475,629605,HierDy3zhkyz9e,sub03,3,1,motor,76,img/motor_8.png,76,motor,8,137,1,0,0,,,
null,629717,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_8.png,76,motor,,,,,,,,
565,630291,HierDy3zhkyz9e,sub03,3,1,motor,65,img/motor_1.png,65,motor,1,138,1,0,0,,,
null,630404,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_1.png,65,motor,,,,,,,,
856,631269,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_3.png,68,motor,3,139,1,0,0,,,
null,631381,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_3.png,68,motor,,,,,,,,
562,631950,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_3.png,68,motor,3,140,1,0,0,,,
null,632061,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_3.png,68,motor,,,,,,,,
725,632797,HierDy3zhkyz9e,sub03,3,1,motor,75,img/motor_7.png,75,motor,7,141,1,0,0,,,
null,632907,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_7.png,75,motor,,,,,,,,
355,633272,HierDy3zhkyz9e,sub03,3,1,motor,75,img/motor_7.png,75,motor,7,142,1,0,0,,,
null,633382,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_7.png,75,motor,,,,,,,,
647,634039,HierDy3zhkyz9e,sub03,3,1,motor,83,img/motor_2.png,83,motor,2,143,1,0,0,,,
null,634148,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_2.png,83,motor,,,,,,,,
582,634742,HierDy3zhkyz9e,sub03,3,1,motor,76,img/motor_8.png,76,motor,8,144,1,0,0,,,
null,634852,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_8.png,76,motor,,,,,,,,
443,635307,HierDy3zhkyz9e,sub03,3,1,motor,65,img/motor_1.png,65,motor,1,145,1,0,0,,,
null,635416,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_1.png,65,motor,,,,,,,,
1056,636483,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_3.png,68,motor,3,146,1,0,0,,,
null,636592,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_3.png,68,motor,,,,,,,,
588,637188,HierDy3zhkyz9e,sub03,3,1,motor,76,img/motor_8.png,76,motor,8,147,1,0,0,,,
null,637301,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_8.png,76,motor,,,,,,,,
569,637879,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_3.png,68,motor,3,148,1,0,0,,,
null,637991,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_3.png,68,motor,,,,,,,,
421,638420,HierDy3zhkyz9e,sub03,3,1,motor,76,img/motor_8.png,76,motor,8,149,1,0,0,,,
null,638529,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_8.png,76,motor,,,,,,,,
469,639007,HierDy3zhkyz9e,sub03,3,1,motor,65,img/motor_1.png,65,motor,1,150,1,0,0,,,
null,639118,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_1.png,65,motor,,,,,,,,
522,639649,HierDy3zhkyz9e,sub03,3,1,motor,75,img/motor_7.png,75,motor,7,151,1,0,0,,,
null,639761,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_7.png,75,motor,,,,,,,,
529,640298,HierDy3zhkyz9e,sub03,3,1,motor,83,img/motor_2.png,83,motor,2,152,1,0,0,,,
null,640409,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_2.png,83,motor,,,,,,,,
490,640909,HierDy3zhkyz9e,sub03,3,1,motor,76,img/motor_8.png,76,motor,8,153,1,0,0,,,
null,641019,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_8.png,76,motor,,,,,,,,
522,641550,HierDy3zhkyz9e,sub03,3,1,motor,75,img/motor_7.png,75,motor,7,154,1,0,0,,,
null,641662,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_7.png,75,motor,,,,,,,,
483,642155,HierDy3zhkyz9e,sub03,3,1,motor,76,img/motor_8.png,76,motor,8,155,1,0,0,,,
null,642266,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_8.png,76,motor,,,,,,,,
742,643016,HierDy3zhkyz9e,sub03,3,1,motor,74,img/motor_6.png,74,motor,6,156,1,0,0,,,
null,643128,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_6.png,74,motor,,,,,,,,
526,643661,HierDy3zhkyz9e,sub03,3,1,motor,72,img/motor_5.png,72,motor,5,157,1,0,0,,,
null,643773,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_5.png,72,motor,,,,,,,,
458,644242,HierDy3zhkyz9e,sub03,3,1,motor,76,img/motor_8.png,76,motor,8,158,1,0,0,,,
null,644354,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_8.png,76,motor,,,,,,,,
438,644802,HierDy3zhkyz9e,sub03,3,1,motor,75,img/motor_6.png,74,motor,6,159,0,1,0,,,
2109,646919,HierDy3zhkyz9e,sub03,3,1,motorRepeat,74,img/motor_6.png,74,motor,6,159,1,0,0,,,
null,647031,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_6.png,74,motor,,,,,,,,
486,647527,HierDy3zhkyz9e,sub03,3,1,motor,76,img/motor_8.png,76,motor,8,160,1,0,0,,,
null,647640,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_8.png,76,motor,,,,,,,,
1183,648832,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_3.png,68,motor,3,161,1,0,0,,,
null,648941,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_3.png,68,motor,,,,,,,,
449,649399,HierDy3zhkyz9e,sub03,3,1,motor,83,img/motor_2.png,83,motor,2,162,1,0,0,,,
null,649511,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_2.png,83,motor,,,,,,,,
771,650293,HierDy3zhkyz9e,sub03,3,1,motor,74,img/motor_6.png,74,motor,6,163,1,0,0,,,
null,650404,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_6.png,74,motor,,,,,,,,
339,650754,HierDy3zhkyz9e,sub03,3,1,motor,74,img/motor_6.png,74,motor,6,164,1,0,0,,,
null,650864,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_6.png,74,motor,,,,,,,,
522,651397,HierDy3zhkyz9e,sub03,3,1,motor,75,img/motor_7.png,75,motor,7,165,1,0,0,,,
null,651509,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_7.png,75,motor,,,,,,,,
885,652404,HierDy3zhkyz9e,sub03,3,1,motor,70,img/motor_3.png,68,motor,3,166,0,1,0,,,
419,652833,HierDy3zhkyz9e,sub03,3,1,motorRepeat,68,img/motor_3.png,68,motor,3,166,1,0,0,,,
null,652942,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_3.png,68,motor,,,,,,,,
694,653644,HierDy3zhkyz9e,sub03,3,1,motor,74,img/motor_6.png,74,motor,6,167,1,0,0,,,
null,653756,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_6.png,74,motor,,,,,,,,
521,654287,HierDy3zhkyz9e,sub03,3,1,motor,68,img/motor_3.png,68,motor,3,168,1,0,0,,,
null,654396,HierDy3zhkyz9e,sub03,3,1,iti,null,img/motor_3.png,68,motor,,,,,,,,
