"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"611","133184","HierDywwo7grap","02","02","8","motor","75","img/motor_7.png","75","motor","7","69","1","0","0","",""
"null","133295","HierDywwo7grap","02","02","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"598","133903","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","70","1","0","0","",""
"null","134013","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"489","134510","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","71","1","0","0","",""
"null","134621","HierDywwo7grap","02","02","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"518","135147","HierDywwo7grap","02","02","8","motor","75","img/motor_7.png","75","motor","7","72","1","0","0","",""
"null","135258","HierDywwo7grap","02","02","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"637","135904","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","73","1","0","0","",""
"null","136015","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"445","136468","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","74","1","0","0","",""
"null","136580","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"718","137307","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","75","1","0","0","",""
"null","137418","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"501","137929","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","76","1","0","0","",""
"null","138040","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"715","138763","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","77","1","0","0","",""
"null","138873","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"386","139270","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","78","1","0","0","",""
"null","139382","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"567","139958","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","79","1","0","0","",""
"null","140070","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"571","140652","HierDywwo7grap","02","02","8","motor","74","img/motor_6.png","74","motor","6","80","1","0","0","",""
"null","140763","HierDywwo7grap","02","02","8","iti","null","img/motor_6.png","74","motor","","","","","","",""
"541","141315","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","81","1","0","0","",""
"null","141424","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"705","142139","HierDywwo7grap","02","02","8","motor","65","img/motor_1.png","65","motor","1","82","1","0","0","",""
"null","142249","HierDywwo7grap","02","02","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"813","143072","HierDywwo7grap","02","02","8","motor","75","img/motor_7.png","75","motor","7","83","1","0","0","",""
"null","143183","HierDywwo7grap","02","02","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"486","143680","HierDywwo7grap","02","02","8","motor","65","img/motor_1.png","65","motor","1","84","1","0","0","",""
"null","143791","HierDywwo7grap","02","02","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"334","144134","HierDywwo7grap","02","02","8","motor","65","img/motor_1.png","65","motor","1","85","1","0","0","",""
"null","144243","HierDywwo7grap","02","02","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"769","145021","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","86","1","0","0","",""
"84","145132","HierDywwo7grap","02","02","8","iti","68","img/motor_3.png","68","motor","","","","","","",""
"775","145915","HierDywwo7grap","02","02","8","motor","75","img/motor_7.png","75","motor","7","87","1","0","0","",""
"null","146023","HierDywwo7grap","02","02","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"616","146647","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","88","1","0","0","",""
"null","146756","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
"429","147194","HierDywwo7grap","02","02","8","motor","72","img/motor_5.png","72","motor","5","89","1","0","0","",""
"null","147303","HierDywwo7grap","02","02","8","iti","null","img/motor_5.png","72","motor","","","","","","",""
"569","147884","HierDywwo7grap","02","02","8","motor","65","img/motor_1.png","65","motor","1","90","1","0","0","",""
"null","147992","HierDywwo7grap","02","02","8","iti","null","img/motor_1.png","65","motor","","","","","","",""
"667","148668","HierDywwo7grap","02","02","8","motor","76","img/motor_8.png","76","motor","8","91","1","0","0","",""
"null","148779","HierDywwo7grap","02","02","8","iti","null","img/motor_8.png","76","motor","","","","","","",""
"751","149539","HierDywwo7grap","02","02","8","motor","68","img/motor_3.png","68","motor","3","92","1","0","0","",""
"null","149651","HierDywwo7grap","02","02","8","iti","null","img/motor_3.png","68","motor","","","","","","",""
"521","150184","HierDywwo7grap","02","02","8","motor","75","img/motor_7.png","75","motor","7","93","1","0","0","",""
"null","150292","HierDywwo7grap","02","02","8","iti","null","img/motor_7.png","75","motor","","","","","","",""
"538","150840","HierDywwo7grap","02","02","8","motor","70","img/motor_4.png","70","motor","4","94","1","0","0","",""
"null","150949","HierDywwo7grap","02","02","8","iti","null","img/motor_4.png","70","motor","","","","","","",""
