"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy","responses"
"547","2706456","HierDy55os536l","sub08","08","1","motor","65","img/motor_1.png","65","motor","1","72","1","0","0","","",""
"null","2706568","HierDy55os536l","sub08","08","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"536","2707115","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","73","1","0","0","","",""
"null","2707227","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"499","2707737","HierDy55os536l","sub08","08","1","motor","83","img/motor_2.png","83","motor","2","74","1","0","0","","",""
"null","2707848","HierDy55os536l","sub08","08","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"451","2708308","HierDy55os536l","sub08","08","1","motor","83","img/motor_2.png","83","motor","2","75","1","0","0","","",""
"null","2708419","HierDy55os536l","sub08","08","1","iti","null","img/motor_2.png","83","motor","","","","","","","",""
"452","2708881","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","76","1","0","0","","",""
"null","2708992","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"435","2709438","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","77","1","0","0","","",""
"null","2709548","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"424","2709981","HierDy55os536l","sub08","08","1","motor","68","img/motor_3.png","68","motor","3","78","1","0","0","","",""
"null","2710090","HierDy55os536l","sub08","08","1","iti","null","img/motor_3.png","68","motor","","","","","","","",""
"668","2710767","HierDy55os536l","sub08","08","1","motor","72","img/motor_5.png","72","motor","5","79","1","0","0","","",""
"null","2710879","HierDy55os536l","sub08","08","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"538","2711426","HierDy55os536l","sub08","08","1","motor","75","img/motor_7.png","75","motor","7","80","1","0","0","","",""
"null","2711537","HierDy55os536l","sub08","08","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"378","2711920","HierDy55os536l","sub08","08","1","motor","75","img/motor_7.png","75","motor","7","81","1","0","0","","",""
"null","2712027","HierDy55os536l","sub08","08","1","iti","null","img/motor_7.png","75","motor","","","","","","","",""
"433","2712468","HierDy55os536l","sub08","08","1","motor","76","img/motor_8.png","76","motor","8","82","1","0","0","","",""
"null","2712575","HierDy55os536l","sub08","08","1","iti","null","img/motor_8.png","76","motor","","","","","","","",""
"499","2713080","HierDy55os536l","sub08","08","1","motor","65","img/motor_1.png","65","motor","1","83","1","0","0","","",""
"null","2713187","HierDy55os536l","sub08","08","1","iti","null","img/motor_1.png","65","motor","","","","","","","",""
"462","2713661","HierDy55os536l","sub08","08","1","motor","72","img/motor_5.png","72","motor","5","84","1","0","0","","",""
"null","2713771","HierDy55os536l","sub08","08","1","iti","null","img/motor_5.png","72","motor","","","","","","","",""
"441","2714221","HierDy55os536l","sub08","08","1","motor","74","img/motor_6.png","74","motor","6","85","1","0","0","","",""
"null","2714332","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"679","2715018","HierDy55os536l","sub08","08","1","motor","70","img/motor_4.png","70","motor","4","86","1","0","0","","",""
"null","2715129","HierDy55os536l","sub08","08","1","iti","null","img/motor_4.png","70","motor","","","","","","","",""
"558","2715697","HierDy55os536l","sub08","08","1","motor","75","img/motor_6.png","74","motor","6","87","0","1","0","","",""
"238","2715945","HierDy55os536l","sub08","08","1","motorRepeat","74","img/motor_6.png","74","motor","6","87","1","0","0","","",""
"null","2716055","HierDy55os536l","sub08","08","1","iti","null","img/motor_6.png","74","motor","","","","","","","",""
"496","2716560","HierDy55os536l","sub08","08","1","motor","75","img/motor_7.png","75","motor","7","88","1","0","0","","",""
