"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","question_order","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"621","","6689499","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","83","img/motor_2.png","83","motor","2","45","1","0","0","",""
"null","","6689608","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"445","","6690067","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","65","img/motor_1.png","65","motor","1","46","1","0","0","",""
"null","","6690182","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_1.png","65","motor","","","","","","",""
"604","","6690797","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","83","img/motor_2.png","83","motor","2","47","1","0","0","",""
"null","","6690911","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"605","","6691531","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","75","img/motor_7.png","75","motor","7","48","1","0","0","",""
"null","","6691640","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"469","","6692117","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","75","img/motor_7.png","75","motor","7","49","1","0","0","",""
"null","","6692231","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"1364","","6693611","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","70","img/motor_4.png","70","motor","4","50","1","0","0","",""
"null","","6693720","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"790","","6694517","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","72","img/motor_5.png","72","motor","5","51","1","0","0","",""
"null","","6694625","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"740","","6695379","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","68","img/motor_3.png","68","motor","3","52","1","0","0","",""
"null","","6695494","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"774","","6696277","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","70","img/motor_4.png","70","motor","4","53","1","0","0","",""
"null","","6696385","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"389","","6696781","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","70","img/motor_4.png","70","motor","4","54","1","0","0","",""
"null","","6696889","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"588","","6697485","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","83","img/motor_2.png","83","motor","2","55","1","0","0","",""
"null","","6697593","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"917","","6698517","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","76","img/motor_8.png","76","motor","8","56","1","0","0","",""
"null","","6698631","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"1237","","6699877","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","68","img/motor_3.png","68","motor","3","57","1","0","0","",""
"null","","6699985","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"693","","6700685","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","75","img/motor_7.png","75","motor","7","58","1","0","0","",""
"null","","6700793","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_7.png","75","motor","","","","","","",""
"740","","6701540","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","74","img/motor_6.png","74","motor","6","59","1","0","0","",""
"null","","6701649","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"692","","6702349","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","72","img/motor_5.png","72","motor","5","60","1","0","0","",""
"null","","6702457","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"708","","6703173","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","68","img/motor_3.png","68","motor","3","61","1","0","0","",""
"null","","6703287","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_3.png","68","motor","","","","","","",""
"613","","6703909","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","70","img/motor_4.png","70","motor","4","62","1","0","0","",""
"null","","6704017","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_4.png","70","motor","","","","","","",""
"764","","6704796","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","76","img/motor_8.png","76","motor","8","63","1","0","0","",""
"null","","6704904","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"685","","6705597","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","74","img/motor_6.png","74","motor","6","64","1","0","0","",""
"null","","6705706","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_6.png","74","motor","","","","","","",""
"675","","6706389","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","76","img/motor_8.png","76","motor","8","65","1","0","0","",""
"null","","6706503","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"692","","6707212","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","72","img/motor_5.png","72","motor","5","66","1","0","0","",""
"null","","6707326","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_5.png","72","motor","","","","","","",""
"590","","6707926","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","76","img/motor_8.png","76","motor","8","67","1","0","0","",""
"null","","6708034","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"580","","6708621","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","76","img/motor_8.png","76","motor","8","68","1","0","0","",""
"null","","6708729","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_8.png","76","motor","","","","","","",""
"660","","6709397","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","83","img/motor_2.png","83","motor","2","69","1","0","0","",""
"null","","6709511","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_2.png","83","motor","","","","","","",""
"750","","6710276","HierDyac0s1z15","2ufgfxgetv","msl000300","motor","","72","img/motor_5.png","72","motor","5","70","1","0","0","",""
"null","","6710390","HierDyac0s1z15","2ufgfxgetv","msl000300","iti","","null","img/motor_5.png","72","motor","","","","","","",""
