"","subject","group","taskType","block","trial","phase","stim","resp","corr","timing","PT_planned","PT_actual","missed_stim_deadline","iter","hand","couplet","handSwitch","coupletSwitch","fingerSwitch","handSwitch_actual","coupletSwitch_actual","fingerSwitch_actual","respHand","respCouplet","corrHand","corrCouplet","corrresp","trialNum","rt","PT_actual_bins","PT_planned_bins","combinedType","treeDistance","corrresp_prev","nFeatureSwitch","errorType","corrFinger","errorType2","includeLearn","timing_chill"
"26789","8",2,"forced",10,20,"learn",4,4,1,0,0.7,0.813,0,68,"L",2,0,1,1,0,1,1,"L",2,1,1,4,20,0.113,"8","5","rep/sw/sw","4",2,1,"1/1/1",1,"1/1/1",1,1
"26790","8",2,"forced",10,21,"learn",6,6,1,0,0.7,0.583,0,60,"R",1,1,1,1,1,1,1,"R",1,1,1,6,21,-0.117,"4","5","sw/sw/sw","6",4,2,"1/1/1",1,"1/1/1",1,1
"26791","8",2,"forced",10,22,"learn",4,4,1,1,1,0.904,0,69,"L",2,1,1,1,1,1,1,"L",2,1,1,4,22,-0.096,"9","8","sw/sw/sw","6",6,2,"1/1/1",1,"1/1/1",1,1
"26792","8",2,"forced",10,23,"learn",3,3,1,0,1.2,0.954,0,65,"L",2,0,0,1,0,0,1,"L",2,1,1,3,23,-0.246,"9","10","rep/rep/sw","2",4,1,"1/1/1",1,"1/1/1",1,1
"26793","8",2,"forced",10,24,"learn",8,7,0,0,0.8,0.696,0,66,"R",2,1,0,1,1,0,1,"R",2,1,1,8,24,-0.104,"6","6","sw/rep/sw","6",3,2,"1/1/0",0,"1/1/0",1,1
"26794","8",2,"forced",10,25,"learn",4,6,0,0,0.2,0.089,0,70,"L",2,1,0,1,0,1,1,"R",1,0,0,4,25,-0.111,"1","1","rep/sw/sw","4",8,3,"0/0/0",1,"0/0/1",1,1
"26795","8",2,"forced",10,26,"learn",3,2,0,1,0.9,0.873,0,66,"L",2,0,0,1,1,0,1,"L",1,1,0,3,26,-0.027,"8","7","sw/rep/sw","6",4,1,"1/0/0",0,"1/0/0",1,1
"26796","8",2,"forced",10,27,"learn",2,2,1,1,0.4,0.444,0,66,"L",1,0,1,1,0,0,0,"L",1,1,1,2,27,0.044,"3","3","rep/rep/rep","0",3,2,"1/1/1",1,"1/1/1",1,1
"26797","8",2,"forced",10,28,"learn",8,7,0,1,0.6,0.545,0,67,"R",2,1,1,1,1,1,1,"R",2,1,1,8,28,-0.0549999999999999,"4","5","sw/sw/sw","6",2,2,"1/1/0",0,"1/1/0",1,1
"26798","8",2,"forced",10,29,"learn",3,3,1,1,1.2,1.11,0,67,"L",2,1,0,1,1,0,1,"L",2,1,1,3,29,-0.0899999999999999,"11","10","sw/rep/sw","6",8,2,"1/1/1",1,"1/1/1",1,1
"26799","8",2,"forced",10,30,"learn",3,3,1,1,0.6,0.674,0,68,"L",2,0,0,0,0,0,0,"L",2,1,1,3,30,0.0740000000000001,"6","5","rep/rep/rep","0",3,0,"1/1/1",1,"1/1/1",1,1
"26800","8",2,"forced",10,31,"learn",6,7,0,1,0.4,0.467,0,61,"R",1,1,1,1,1,0,1,"R",2,1,0,6,31,0.067,"3","3","sw/rep/sw","6",3,1,"1/0/0",0,"1/0/0",1,1
"26801","8",2,"forced",10,32,"learn",2,1,0,0,1.2,1.06,0,67,"L",1,1,0,1,1,1,1,"L",1,1,1,2,32,-0.14,"11","10","sw/sw/sw","6",6,3,"1/1/0",0,"1/1/0",1,1
"26802","8",2,"forced",10,33,"learn",3,2,0,1,0.7,0.663,0,69,"L",2,0,1,1,0,0,1,"L",1,1,0,3,33,-0.0369999999999999,"6","5","rep/rep/sw","2",2,2,"1/0/0",0,"1/0/0",1,1
"26803","8",2,"forced",10,34,"learn",4,3,0,1,0.5,0.49,0,71,"L",2,0,0,1,0,1,1,"L",2,1,1,4,34,-0.01,"3","4","rep/sw/sw","4",3,1,"1/1/0",0,"1/1/0",1,1
"26804","8",2,"forced",10,35,"learn",8,8,1,1,0.4,0.446,0,68,"R",2,1,0,1,1,0,1,"R",2,1,1,8,35,0.046,"3","3","sw/rep/sw","6",4,3,"1/1/1",1,"1/1/1",1,1
"26805","8",2,"forced",10,36,"learn",1,1,1,1,1.1,1.022,0,62,"L",1,1,1,1,1,1,1,"L",1,1,1,1,36,-0.0780000000000001,"10","9","sw/sw/sw","6",8,1,"1/1/1",1,"1/1/1",1,1
"26806","8",2,"forced",10,37,"learn",5,5,1,0,1.1,0.997,0,62,"R",1,1,0,1,1,0,1,"R",1,1,1,5,37,-0.103,"10","9","sw/rep/sw","6",1,3,"1/1/1",1,"1/1/1",1,1
"26807","8",2,"forced",10,38,"learn",8,7,0,1,0.6,0.538,0,69,"R",2,0,1,1,0,1,1,"R",2,1,1,8,38,-0.0619999999999999,"4","5","rep/sw/sw","4",5,2,"1/1/0",0,"1/1/0",1,1
"26808","8",2,"forced",10,39,"learn",7,7,1,1,0.7,0.674,0,58,"R",2,0,0,1,0,0,0,"R",2,1,1,7,39,-0.0259999999999999,"6","5","rep/rep/rep","0",8,1,"1/1/1",1,"1/1/1",1,1
"26809","8",2,"forced",10,40,"learn",1,2,0,1,0.5,0.547,0,63,"L",1,1,1,1,1,1,1,"L",1,1,1,1,40,0.047,"4","4","sw/sw/sw","6",7,2,"1/1/0",0,"1/1/0",1,1
