"rt","responses","time_elapsed","subject","prolificID","demoID","trialType","stimulus","key_press","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","pracCounter","hierarchy"
"null","","2017932","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/yay.png","null","na","test","","","","","","",""
"1361","","2019301","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/r_t_diag.png","68","68","test","3","251","1","","","","pattern,shape,color"
"null","","2020313","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/yay.png","null","na","test","","","","","","",""
"1366","","2021692","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/o_c_diag.png","83","83","test","2","252","1","","","","pattern,shape,color"
"null","","2022703","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/yay.png","null","na","test","","","","","","",""
"1206","","2023920","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/r_c_diag.png","65","65","test","1","253","1","","","","pattern,shape,color"
"null","","2024932","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/yay.png","null","na","test","","","","","","",""
"1691","","2026631","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/o_c_check.png","74","75","test","7","254","0","","","","pattern,shape,color"
"null","","2027643","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/boo.png","null","na","test","","","","","","",""
"1199","","2028853","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/r_c_check.png","72","76","test","8","255","0","","","","pattern,shape,color"
"null","","2029865","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/boo.png","null","na","test","","","","","","",""
"null","","2032378","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/r_t_check.png","null","74","test","6","256","0","","","","pattern,shape,color"
"null","","2033388","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/tooSlow.png","null","na","test","","","","","","",""
"1127","","2034525","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/r_t_diag.png","68","68","test","3","257","1","","","","pattern,shape,color"
"null","","2035536","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/yay.png","null","na","test","","","","","","",""
"906","","2036452","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/r_c_diag.png","68","65","test","1","258","0","","","","pattern,shape,color"
"null","","2037463","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/boo.png","null","na","test","","","","","","",""
"2318","","2039788","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/r_t_check.png","72","74","test","6","259","0","","","","pattern,shape,color"
"null","","2040798","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/boo.png","null","na","test","","","","","","",""
"1913","","2042720","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/o_c_check.png","74","75","test","7","260","0","","","","pattern,shape,color"
"null","","2043729","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/boo.png","null","na","test","","","","","","",""
"1166","","2044902","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/o_t_diag.png","70","70","test","4","261","1","","","","pattern,shape,color"
"null","","2045911","HierDyhfwjavnb","m76sg0btrv","msl000823","feedback","img/yay.png","null","na","test","","","","","","",""
"832","","2046751","HierDyhfwjavnb","m76sg0btrv","msl000823","rl","img/r_c_check.png","72","76","test","8","262","0","","","","pattern,shape,color"
