"rt","time_elapsed","subject","subID","group","day","trialType","key_press","stim","corrresp","phase","stimNum","trialNum","corr","repeatTrial","motorSwitch","hierarchy","responses"
"null","457958","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","58","","","","",""
"777","458747","HierDyvc8ryfj5","01","01","8","rl","68","img/b_s_dots.png","68","test","3","59","1","","","color,shape,pattern",""
"null","459759","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","59","","","","",""
"618","460389","HierDyvc8ryfj5","01","01","8","rl","70","img/b_s_stripes.png","70","test","4","60","1","","","color,shape,pattern",""
"null","461402","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","60","","","","",""
"773","462185","HierDyvc8ryfj5","01","01","8","rl","72","img/r_c_dots.png","72","test","5","61","1","","","color,shape,pattern",""
"null","463199","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","61","","","","",""
"763","463973","HierDyvc8ryfj5","01","01","8","rl","76","img/r_s_stripes.png","76","test","8","62","1","","","color,shape,pattern",""
"null","464987","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","62","","","","",""
"491","465489","HierDyvc8ryfj5","01","01","8","rl","74","img/r_c_stripes.png","74","test","6","63","1","","","color,shape,pattern",""
"null","466502","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","63","","","","",""
"653","467165","HierDyvc8ryfj5","01","01","8","rl","68","img/b_s_dots.png","68","test","3","64","1","","","color,shape,pattern",""
"null","468177","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","64","","","","",""
"576","468764","HierDyvc8ryfj5","01","01","8","rl","83","img/b_c_stripes.png","83","test","2","65","1","","","color,shape,pattern",""
"null","469774","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","65","","","","",""
"662","470447","HierDyvc8ryfj5","01","01","8","rl","75","img/r_s_dots.png","75","test","7","66","1","","","color,shape,pattern",""
"null","471459","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","66","","","","",""
"577","472046","HierDyvc8ryfj5","01","01","8","rl","75","img/r_s_dots.png","75","test","7","67","1","","","color,shape,pattern",""
"null","473059","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","67","","","","",""
"1398","474469","HierDyvc8ryfj5","01","01","8","rl","83","img/b_c_dots.png","65","test","1","68","0","","","color,shape,pattern",""
"null","475481","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","68","","","","",""
"1071","476563","HierDyvc8ryfj5","01","01","8","rl","76","img/r_s_stripes.png","76","test","8","69","1","","","color,shape,pattern",""
"null","477577","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","69","","","","",""
"475","478062","HierDyvc8ryfj5","01","01","8","rl","75","img/r_s_dots.png","75","test","7","70","1","","","color,shape,pattern",""
"null","479074","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","70","","","","",""
"987","480073","HierDyvc8ryfj5","01","01","8","rl","65","img/b_c_dots.png","65","test","1","71","1","","","color,shape,pattern",""
"null","481086","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","71","","","","",""
"569","481666","HierDyvc8ryfj5","01","01","8","rl","70","img/b_s_stripes.png","70","test","4","72","1","","","color,shape,pattern",""
"null","482679","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","72","","","","",""
"546","483236","HierDyvc8ryfj5","01","01","8","rl","74","img/r_c_dots.png","72","test","5","73","0","","","color,shape,pattern",""
"null","484248","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","73","","","","",""
"678","484936","HierDyvc8ryfj5","01","01","8","rl","74","img/r_c_stripes.png","74","test","6","74","1","","","color,shape,pattern",""
"null","485948","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","74","","","","",""
"598","486557","HierDyvc8ryfj5","01","01","8","rl","65","img/b_c_dots.png","65","test","1","75","1","","","color,shape,pattern",""
"null","487569","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","75","","","","",""
"614","488195","HierDyvc8ryfj5","01","01","8","rl","74","img/r_c_stripes.png","74","test","6","76","1","","","color,shape,pattern",""
"null","489207","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","76","","","","",""
"943","490162","HierDyvc8ryfj5","01","01","8","rl","76","img/r_s_stripes.png","76","test","8","77","1","","","color,shape,pattern",""
"null","491175","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","77","","","","",""
"516","491701","HierDyvc8ryfj5","01","01","8","rl","83","img/b_c_stripes.png","83","test","2","78","1","","","color,shape,pattern",""
"null","492711","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","78","","","","",""
"922","493645","HierDyvc8ryfj5","01","01","8","rl","75","img/b_s_dots.png","68","test","3","79","0","","","color,shape,pattern",""
"null","494658","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","79","","","","",""
"1231","495899","HierDyvc8ryfj5","01","01","8","rl","65","img/b_c_dots.png","65","test","1","80","1","","","color,shape,pattern",""
"null","496912","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","80","","","","",""
"757","497680","HierDyvc8ryfj5","01","01","8","rl","72","img/r_c_dots.png","72","test","5","81","1","","","color,shape,pattern",""
"null","498692","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","81","","","","",""
"738","499442","HierDyvc8ryfj5","01","01","8","rl","72","img/r_c_dots.png","72","test","5","82","1","","","color,shape,pattern",""
"null","500455","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","82","","","","",""
"698","501163","HierDyvc8ryfj5","01","01","8","rl","76","img/r_s_stripes.png","76","test","8","83","1","","","color,shape,pattern",""
"null","502175","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","83","","","","",""
"517","502702","HierDyvc8ryfj5","01","01","8","rl","75","img/r_s_dots.png","75","test","7","84","1","","","color,shape,pattern",""
"null","503716","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","84","","","","",""
"563","504289","HierDyvc8ryfj5","01","01","8","rl","70","img/b_s_stripes.png","70","test","4","85","1","","","color,shape,pattern",""
"null","505298","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","85","","","","",""
"653","505961","HierDyvc8ryfj5","01","01","8","rl","75","img/r_c_stripes.png","74","test","6","86","0","","","color,shape,pattern",""
"null","506975","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","86","","","","",""
"673","507659","HierDyvc8ryfj5","01","01","8","rl","83","img/b_c_stripes.png","83","test","2","87","1","","","color,shape,pattern",""
"null","508671","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","87","","","","",""
"1144","509825","HierDyvc8ryfj5","01","01","8","rl","68","img/b_s_stripes.png","70","test","4","88","0","","","color,shape,pattern",""
"null","510837","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","88","","","","",""
"960","511807","HierDyvc8ryfj5","01","01","8","rl","75","img/r_s_dots.png","75","test","7","89","1","","","color,shape,pattern",""
"null","512822","HierDyvc8ryfj5","01","01","8","feedback","null","","na","test","","89","","","","",""
