"","subject","group","taskType","block","trial","phase","stim","resp","corr","timing","PT_planned","PT_actual","missed_stim_deadline","day","iter","hand","couplet","handSwitch","coupletSwitch","fingerSwitch","handSwitch_actual","coupletSwitch_actual","fingerSwitch_actual","respHand","respCouplet","corrHand","corrCouplet","corrresp","trialNum","rt","PT_actual_bins","PT_planned_bins","combinedType","treeDistance","corrresp_prev","nFeatureSwitch","errorType","corrFinger","errorType2","includeLearn","timing_chill"
"6055","sub27",3,"forced",5,79,"learn",8,7,0,0,0.4,0.566,0,8,8,"R",2,1,0,1,1,0,1,"R",2,1,1,8,79,0.166,"4","3","sw/rep/sw","6",4,3,"1/1/0",0,"1/1/0",1,1
"6056","sub27",3,"forced",5,80,"learn",6,6,1,0,0.1,0.373,0,8,11,"R",1,0,1,1,0,1,1,"R",1,1,1,6,80,0.273,"2","1","rep/sw/sw","4",8,1,"1/1/1",1,"1/1/1",1,NA
"6057","sub27",3,"forced",5,81,"learn",8,8,1,1,1,0.974,0,8,9,"R",2,0,1,1,0,1,1,"R",2,1,1,8,81,-0.026,"9","8","rep/sw/sw","4",6,1,"1/1/1",1,"1/1/1",1,1
"6058","sub27",3,"forced",5,82,"learn",1,1,1,1,0.8,0.792,0,8,10,"L",1,1,1,1,1,1,1,"L",1,1,1,1,82,-0.00800000000000001,"7","6","sw/sw/sw","6",8,1,"1/1/1",1,"1/1/1",1,1
"6059","sub27",3,"forced",5,83,"learn",6,6,1,1,1.2,1.154,0,8,12,"R",1,1,0,1,1,0,1,"R",1,1,1,6,83,-0.046,"11","10","sw/rep/sw","6",1,2,"1/1/1",1,"1/1/1",1,1
"6060","sub27",3,"forced",5,84,"learn",3,3,1,0,0.3,0.535,0,8,14,"L",2,1,1,1,1,1,1,"L",2,1,1,3,84,0.235,"4","2","sw/sw/sw","6",6,1,"1/1/1",1,"1/1/1",1,1
"6061","sub27",3,"forced",5,85,"learn",5,5,1,1,0.6,0.662,0,8,12,"R",1,1,1,1,1,1,1,"R",1,1,1,5,85,0.0620000000000001,"5","5","sw/sw/sw","6",3,2,"1/1/1",1,"1/1/1",1,1
"6062","sub27",3,"forced",5,86,"learn",4,4,1,1,0.7,0.607,0,8,13,"L",2,1,1,1,1,1,1,"L",2,1,1,4,86,-0.093,"5","5","sw/sw/sw","6",5,1,"1/1/1",1,"1/1/1",1,1
"6063","sub27",3,"forced",5,87,"learn",2,2,1,1,1,0.948,0,8,8,"L",1,0,1,1,0,1,1,"L",1,1,1,2,87,-0.052,"9","8","rep/sw/sw","4",4,1,"1/1/1",1,"1/1/1",1,1
"6064","sub27",3,"forced",5,88,"learn",4,4,1,1,1,0.986,0,8,14,"L",2,0,1,1,0,1,1,"L",2,1,1,4,88,-0.014,"9","8","rep/sw/sw","4",2,1,"1/1/1",1,"1/1/1",1,1
"6065","sub27",3,"forced",5,89,"learn",7,7,1,1,1,0.921,0,8,10,"R",2,1,0,1,1,0,1,"R",2,1,1,7,89,-0.079,"9","8","sw/rep/sw","6",4,2,"1/1/1",1,"1/1/1",1,1
"6066","sub27",3,"forced",5,90,"learn",5,5,1,1,0.8,0.768,0,8,13,"R",1,0,1,1,0,1,1,"R",1,1,1,5,90,-0.032,"7","6","rep/sw/sw","4",7,1,"1/1/1",1,"1/1/1",1,1
"6067","sub27",3,"forced",5,91,"learn",5,5,1,0,1.1,0.965,0,8,14,"R",1,0,0,0,0,0,0,"R",1,1,1,5,91,-0.135,"9","9","rep/rep/rep","0",5,0,"1/1/1",1,"1/1/1",1,1
"6068","sub27",3,"forced",5,92,"learn",4,4,1,1,0.6,0.613,0,8,15,"L",2,1,1,1,1,1,1,"L",2,1,1,4,92,0.013,"5","5","sw/sw/sw","6",5,1,"1/1/1",1,"1/1/1",1,1
"6069","sub27",3,"forced",5,93,"learn",8,8,1,0,0.3,0.645,0,8,10,"R",2,1,0,1,1,0,1,"R",2,1,1,8,93,0.345,"5","2","sw/rep/sw","6",4,3,"1/1/1",1,"1/1/1",1,NA
"6070","sub27",3,"forced",5,94,"learn",2,2,1,0,0.3,0.61,0,8,9,"L",1,1,1,1,1,1,1,"L",1,1,1,2,94,0.31,"5","2","sw/sw/sw","6",8,2,"1/1/1",1,"1/1/1",1,NA
"6071","sub27",3,"forced",5,95,"learn",2,2,1,1,1.2,1.128,0,8,10,"L",1,0,0,0,0,0,0,"L",1,1,1,2,95,-0.0720000000000001,"11","10","rep/rep/rep","0",2,0,"1/1/1",1,"1/1/1",1,1
"6072","sub27",3,"forced",5,96,"learn",8,8,1,1,0.7,0.625,0,8,11,"R",2,1,1,1,1,1,1,"R",2,1,1,8,96,-0.075,"5","5","sw/sw/sw","6",2,2,"1/1/1",1,"1/1/1",1,1
"6073","sub27",3,"forced",6,1,"learn",1,1,1,0,0.2,0.448,0,8,11,"L",1,NA,NA,NA,NA,NA,NA,"L",1,1,1,1,1,0.248,"3","1",NA,NA,8,NA,"1/1/1",1,"1/1/1",1,1
"6074","sub27",3,"forced",6,2,"learn",8,8,1,1,0.4,0.477,0,8,12,"R",2,1,1,1,1,1,1,"R",2,1,1,8,2,0.077,"3","3","sw/sw/sw","6",1,1,"1/1/1",1,"1/1/1",1,1
"6075","sub27",3,"forced",6,3,"learn",3,4,0,0,0.2,0.576,0,8,15,"L",2,1,0,1,1,0,1,"L",2,1,1,3,3,0.376,"4","1","sw/rep/sw","6",8,2,"1/1/0",0,"1/1/0",1,NA
"6076","sub27",3,"forced",6,4,"learn",1,1,1,1,0.6,0.56,0,8,12,"L",1,0,1,1,0,1,1,"L",1,1,1,1,4,-0.0399999999999999,"4","5","rep/sw/sw","4",3,1,"1/1/1",1,"1/1/1",1,1
"6077","sub27",3,"forced",6,5,"learn",3,3,1,1,1.1,1.036,0,8,16,"L",2,0,1,1,0,1,1,"L",2,1,1,3,5,-0.0640000000000001,"10","9","rep/sw/sw","4",1,1,"1/1/1",1,"1/1/1",1,1
"6078","sub27",3,"forced",6,6,"learn",8,8,1,1,0.8,0.728,0,8,13,"R",2,1,0,1,1,0,1,"R",2,1,1,8,6,-0.0720000000000001,"6","6","sw/rep/sw","6",3,2,"1/1/1",1,"1/1/1",1,1
"6079","sub27",3,"forced",6,7,"learn",6,6,1,0,0.7,0.596,0,8,13,"R",1,0,1,1,0,1,1,"R",1,1,1,6,7,-0.104,"5","5","rep/sw/sw","4",8,1,"1/1/1",1,"1/1/1",1,1
"6080","sub27",3,"forced",6,8,"learn",7,7,1,0,0.3,0.563,0,8,11,"R",2,0,1,1,0,1,1,"R",2,1,1,7,8,0.263,"4","2","rep/sw/sw","4",6,2,"1/1/1",1,"1/1/1",1,NA
"6081","sub27",3,"forced",6,9,"learn",5,5,1,1,1.1,1.062,0,8,15,"R",1,0,1,1,0,1,1,"R",1,1,1,5,9,-0.038,"10","9","rep/sw/sw","4",7,1,"1/1/1",1,"1/1/1",1,1
"6082","sub27",3,"forced",6,10,"learn",7,7,1,1,0.8,0.726,0,8,12,"R",2,0,1,1,0,1,1,"R",2,1,1,7,10,-0.0740000000000001,"6","6","rep/sw/sw","4",5,1,"1/1/1",1,"1/1/1",1,1
"6083","sub27",3,"forced",6,11,"learn",4,4,1,0,0.5,0.617,0,8,16,"L",2,1,0,1,1,0,1,"L",2,1,1,4,11,0.117,"5","4","sw/rep/sw","6",7,2,"1/1/1",1,"1/1/1",1,1
"6084","sub27",3,"forced",6,12,"learn",3,3,1,1,0.7,0.685,0,8,17,"L",2,0,0,1,0,0,1,"L",2,1,1,3,12,-0.0149999999999999,"6","5","rep/rep/sw","2",4,1,"1/1/1",1,"1/1/1",1,1
"6085","sub27",3,"forced",6,13,"learn",6,2,0,0,0.2,0.494,0,8,14,"R",1,1,1,1,0,1,1,"L",1,0,1,6,13,0.294,"3","1","rep/sw/sw","4",3,1,"0/1/0",1,"0/1/1",1,NA
"6086","sub27",3,"forced",6,14,"learn",4,4,1,1,0.9,0.889,0,8,17,"L",2,1,1,1,0,1,1,"L",2,1,1,4,14,-0.011,"8","7","rep/sw/sw","4",6,2,"1/1/1",1,"1/1/1",1,1
"6087","sub27",3,"forced",6,15,"learn",1,1,1,0,0.3,0.507,0,8,13,"L",1,0,1,1,0,1,1,"L",1,1,1,1,15,0.207,"3","2","rep/sw/sw","4",4,2,"1/1/1",1,"1/1/1",1,1
"6088","sub27",3,"forced",6,16,"learn",1,1,1,1,0.4,0.377,0,8,14,"L",1,0,0,0,0,0,0,"L",1,1,1,1,16,-0.023,"2","3","rep/rep/rep","0",1,0,"1/1/1",1,"1/1/1",1,1
"6089","sub27",3,"forced",6,17,"learn",7,7,1,1,0.8,0.729,0,8,13,"R",2,1,1,1,1,1,1,"R",2,1,1,7,17,-0.0710000000000001,"6","6","sw/sw/sw","6",1,2,"1/1/1",1,"1/1/1",1,1
"6090","sub27",3,"forced",6,18,"learn",3,3,1,1,0.8,0.75,0,8,18,"L",2,1,0,1,1,0,1,"L",2,1,1,3,18,-0.05,"7","6","sw/rep/sw","6",7,3,"1/1/1",1,"1/1/1",1,1
"6091","sub27",3,"forced",6,19,"learn",3,3,1,1,0.4,0.454,0,8,19,"L",2,0,0,0,0,0,0,"L",2,1,1,3,19,0.054,"3","3","rep/rep/rep","0",3,0,"1/1/1",1,"1/1/1",1,1
"6092","sub27",3,"forced",6,20,"learn",8,8,1,1,0.5,0.522,0,8,14,"R",2,1,0,1,1,0,1,"R",2,1,1,8,20,0.022,"4","4","sw/rep/sw","6",3,2,"1/1/1",1,"1/1/1",1,1
"6093","sub27",3,"forced",6,21,"learn",2,2,1,1,1.2,1.107,0,8,11,"L",1,1,1,1,1,1,1,"L",1,1,1,2,21,-0.093,"11","10","sw/sw/sw","6",8,2,"1/1/1",1,"1/1/1",1,1
"6094","sub27",3,"forced",6,22,"learn",1,1,1,1,0.8,0.736,0,8,15,"L",1,0,0,1,0,0,1,"L",1,1,1,1,22,-0.0640000000000001,"6","6","rep/rep/sw","2",2,1,"1/1/1",1,"1/1/1",1,1
"6095","sub27",3,"forced",6,23,"learn",7,7,1,1,0.4,0.483,0,8,14,"R",2,1,1,1,1,1,1,"R",2,1,1,7,23,0.083,"3","3","sw/sw/sw","6",1,2,"1/1/1",1,"1/1/1",1,1
"6096","sub27",3,"forced",6,24,"learn",5,5,1,1,1.2,1.098,0,8,16,"R",1,0,1,1,0,1,1,"R",1,1,1,5,24,-0.102,"11","10","rep/sw/sw","4",7,1,"1/1/1",1,"1/1/1",1,1
"6097","sub27",3,"forced",6,25,"learn",6,6,1,1,1,0.967,0,8,15,"R",1,0,0,1,0,0,1,"R",1,1,1,6,25,-0.033,"9","8","rep/rep/sw","2",5,1,"1/1/1",1,"1/1/1",1,1
"6098","sub27",3,"forced",6,26,"learn",5,5,1,1,1,0.952,0,8,17,"R",1,0,0,1,0,0,1,"R",1,1,1,5,26,-0.048,"9","8","rep/rep/sw","2",6,1,"1/1/1",1,"1/1/1",1,1
"6099","sub27",3,"forced",6,27,"learn",5,5,1,1,1,1.006,0,8,18,"R",1,0,0,0,0,0,0,"R",1,1,1,5,27,0.00600000000000001,"10","8","rep/rep/rep","0",5,0,"1/1/1",1,"1/1/1",1,1
"6100","sub27",3,"forced",6,28,"learn",2,3,0,0,0.3,0.478,0,8,12,"L",1,1,0,1,1,1,1,"L",2,1,0,2,28,0.178,"3","2","sw/sw/sw","6",5,2,"1/0/0",0,"1/0/0",1,1
